"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","description"
"1","IFI27",0,3.08658796421477,0.845,0.139,0,"interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]"
"2","FAM192A",0,0.259997783835725,0.131,0.827,0,"family with sequence similarity 192 member A [Source:HGNC Symbol;Acc:HGNC:29856]"
"3","RBM26",0,0.259902306907609,0.14,0.854,0,"RNA binding motif protein 26 [Source:HGNC Symbol;Acc:HGNC:20327]"
"4","LAMTOR1",0,-0.251416060559228,0.128,0.981,0,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]"
"5","PTPN12",0,-0.253395502728596,0.154,0.981,0,"protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]"
"6","TMC5",0,-0.254347274655175,0.11,0.926,0,"transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]"
"7","C7orf50",0,-0.255721537509429,0.105,0.957,0,"chromosome 7 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:22421]"
"8","CCNG1",0,-0.25650690254613,0.077,0.926,0,"cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]"
"9","TMEM134",0,-0.2574217587237,0.085,0.949,0,"transmembrane protein 134 [Source:HGNC Symbol;Acc:HGNC:26142]"
"10","ERLEC1",0,-0.258247932387833,0.138,0.981,0,"endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]"
"11","MIEN1",0,-0.258520687839783,0.085,0.949,0,"migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230]"
"12","RALY",0,-0.25864171555855,0.148,0.987,0,"RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]"
"13","MXD4",0,-0.259816472120696,0.11,0.908,0,"MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]"
"14","UBE2Q1",0,-0.262765086021069,0.043,0.87,0,"ubiquitin conjugating enzyme E2 Q1 [Source:HGNC Symbol;Acc:HGNC:15698]"
"15","SAT2",0,-0.264482087412635,0.029,0.793,0,"spermidine/spermine N1-acetyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:23160]"
"16","TUSC2",0,-0.264898526837216,0.095,0.95,0,"tumor suppressor 2, mitochondrial calcium regulator [Source:HGNC Symbol;Acc:HGNC:17034]"
"17","SMAGP",0,-0.265365177770523,0.093,0.94,0,"small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]"
"18","USF2",0,-0.265595476094085,0.077,0.949,0,"upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]"
"19","UBALD2",0,-0.266604645765808,0.09,0.895,0,"UBA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]"
"20","ITGB1BP1",0,-0.266690448746829,0.152,0.977,0,"integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]"
"21","ELOF1",0,-0.26737842344945,0.06,0.928,0,"elongation factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:28691]"
"22","MAF1",0,-0.277507872236203,0.064,0.927,0,"MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]"
"23","POLR2F",0,-0.278452735821686,0.184,0.991,0,"RNA polymerase II subunit F [Source:HGNC Symbol;Acc:HGNC:9193]"
"24","DEF8",0,-0.28393829351461,0.104,0.953,0,"differentially expressed in FDCP 8 homolog [Source:HGNC Symbol;Acc:HGNC:25969]"
"25","AES",0,-0.285489909937666,0.136,0.988,0,NA
"26","ZNF706",0,-0.286194955966979,0.172,0.989,0,"zinc finger protein 706 [Source:HGNC Symbol;Acc:HGNC:24992]"
"27","NPDC1",0,-0.287864824059114,0.056,0.902,0,"neural proliferation, differentiation and control 1 [Source:HGNC Symbol;Acc:HGNC:7899]"
"28","MRPL14",0,-0.29101693801791,0.176,0.993,0,"mitochondrial ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:14279]"
"29","NPM3",0,-0.291525507893764,0.085,0.935,0,"nucleophosmin/nucleoplasmin 3 [Source:HGNC Symbol;Acc:HGNC:7931]"
"30","IGBP1",0,-0.297616515395085,0.064,0.899,0,"immunoglobulin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5461]"
"31","RGS10",0,-0.298258295146149,0.064,0.906,0,"regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]"
"32","SMDT1",0,-0.302399331393329,0.102,0.971,0,"single-pass membrane protein with aspartate rich tail 1 [Source:HGNC Symbol;Acc:HGNC:25055]"
"33","HES6",0,-0.306889215789962,0.036,0.789,0,"hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]"
"34","MALL",0,-0.307747292153749,0.095,0.855,0,"mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]"
"35","RAB4A",0,-0.309047597586674,0.083,0.955,0,"RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]"
"36","DNAJC19",0,-0.309535731697523,0.073,0.941,0,"DnaJ heat shock protein family (Hsp40) member C19 [Source:HGNC Symbol;Acc:HGNC:30528]"
"37","EIF4EBP1",0,-0.314052916745485,0.109,0.929,0,"eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]"
"38","TSR3",0,-0.317864171314656,0.065,0.945,0,"TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]"
"39","UBXN1",0,-0.320098324457549,0.096,0.954,0,"UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402]"
"40","PLEKHJ1",0,-0.322446978740652,0.067,0.942,0,"pleckstrin homology domain containing J1 [Source:HGNC Symbol;Acc:HGNC:18211]"
"41","SDF2L1",0,-0.324956369434132,0.185,0.978,0,"stromal cell derived factor 2 like 1 [Source:HGNC Symbol;Acc:HGNC:10676]"
"42","CSAG1",0,-0.328298404666468,0.048,0.925,0,"chondrosarcoma associated gene 1 [Source:HGNC Symbol;Acc:HGNC:24294]"
"43","MRPL18",0,-0.329895707845678,0.153,0.978,0,"mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]"
"44","C6orf48",0,-0.330116314148977,0.057,0.874,0,NA
"45","STARD10",0,-0.331909889513681,0.136,0.973,0,"StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]"
"46","EPB41L4A-AS1",0,-0.33368597258976,0.067,0.899,0,"EPB41L4A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30749]"
"47","SPINT1-AS1",0,-0.337374481881459,0.04,0.893,0,"SPINT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53162]"
"48","EIF3L",0,-0.339030894352177,0.152,0.98,0,"eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138]"
"49","DUS1L",0,-0.340049173461886,0.112,0.974,0,"dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]"
"50","CTNNBIP1",0,-0.340728490096218,0.085,0.96,0,"catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]"
"51","TMEM219",0,-0.341078652135859,0.113,0.982,0,"transmembrane protein 219 [Source:HGNC Symbol;Acc:HGNC:25201]"
"52","C19orf48",0,-0.34165852762362,0.074,0.905,0,"chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]"
"53","FIS1",0,-0.343630703064093,0.2,0.99,0,"fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]"
"54","AC020656.1",0,-0.343818963037785,0.064,0.696,0,"novel transcript, antisense to LYZ"
"55","BAG1",0,-0.345299070746747,0.134,0.983,0,"BCL2 associated athanogene 1 [Source:HGNC Symbol;Acc:HGNC:937]"
"56","DGCR6L",0,-0.357690826251186,0.056,0.939,0,"DiGeorge syndrome critical region gene 6 like [Source:HGNC Symbol;Acc:HGNC:18551]"
"57","ZDHHC12",0,-0.360030409766426,0.099,0.969,0,"zinc finger DHHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:19159]"
