"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","description"
"1","IFI27",0,2.2095863684015,0.586,0.013,0,"interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]"
"2","DYNC1LI2",0,0.291918283339522,0.145,0.768,0,"dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]"
"3","FAM49B",0,0.286084336265647,0.166,0.82,0,"family with sequence similarity 49 member B [Source:HGNC Symbol;Acc:HGNC:25216]"
"4","SEPT2",0,0.28285049860714,0.175,0.847,0,NA
"5","MYO6",0,0.273820389749964,0.139,0.747,0,"myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]"
"6","CACUL1",0,0.273077521617488,0.143,0.765,0,"CDK2 associated cullin domain 1 [Source:HGNC Symbol;Acc:HGNC:23727]"
"7","SBNO1",0,0.26952575342383,0.137,0.744,0,"strawberry notch homolog 1 [Source:HGNC Symbol;Acc:HGNC:22973]"
"8","ZMYM2",0,0.266261602459289,0.137,0.746,0,"zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]"
"9","UBE3C",0,0.26147315138429,0.14,0.77,0,"ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]"
"10","MAPK1IP1L",0,0.253549958335122,0.125,0.715,0,"mitogen-activated protein kinase 1 interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:19840]"
"11","CPNE1",0,0.25327399231929,0.137,0.743,0,"copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]"
"12","ETHE1",0,-0.250692184507305,0.192,0.981,0,"ETHE1 persulfide dioxygenase [Source:HGNC Symbol;Acc:HGNC:23287]"
"13","NUDT14",0,-0.253214321782666,0.067,0.905,0,"nudix hydrolase 14 [Source:HGNC Symbol;Acc:HGNC:20141]"
"14","TSTD1",0,-0.255863120756801,0.113,0.964,0,"thiosulfate sulfurtransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:35410]"
"15","MPST",0,-0.25596680289842,0.075,0.921,0,"mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223]"
"16","NTAN1",0,-0.256534210533385,0.085,0.923,0,"N-terminal asparagine amidase [Source:HGNC Symbol;Acc:HGNC:29909]"
"17","SH3YL1",0,-0.25841386264253,0.208,0.99,0,"SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]"
"18","TEN1",0,-0.261590166592795,0.047,0.859,0,"TEN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:37242]"
"19","PIN1",0,-0.26272133906491,0.073,0.916,0,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]"
"20","ZNF706",0,-0.263063929025241,0.192,0.989,0,"zinc finger protein 706 [Source:HGNC Symbol;Acc:HGNC:24992]"
"21","C4orf3",0,-0.264266147538418,0.18,0.984,0,"chromosome 4 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:19225]"
"22","MAF1",0,-0.265358653783467,0.065,0.912,0,"MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]"
"23","CHMP4B",0,-0.266500492383659,0.182,0.984,0,"charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]"
"24","CNPY2",0,-0.266916883722229,0.136,0.971,0,"canopy FGF signaling regulator 2 [Source:HGNC Symbol;Acc:HGNC:13529]"
"25","LYRM1",0,-0.267201982598402,0.225,0.976,0,"LYR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25074]"
"26","POLR3GL",0,-0.267239090023585,0.049,0.872,0,"RNA polymerase III subunit G like [Source:HGNC Symbol;Acc:HGNC:28466]"
"27","BLOC1S1",0,-0.268393151250269,0.168,0.981,0,"biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200]"
"28","FKBP8",0,-0.270234095892769,0.088,0.94,0,"FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]"
"29","USF2",0,-0.271239600530942,0.105,0.962,0,"upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]"
"30","PLEKHJ1",0,-0.272954555495023,0.098,0.95,0,"pleckstrin homology domain containing J1 [Source:HGNC Symbol;Acc:HGNC:18211]"
"31","MXD4",0,-0.27430859028539,0.064,0.832,0,"MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]"
"32","ENSA",0,-0.275059680928698,0.078,0.933,0,"endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360]"
"33","METTL9",0,-0.275126060636349,0.236,0.994,0,"methyltransferase like 9 [Source:HGNC Symbol;Acc:HGNC:24586]"
"34","ASCL2",0,-0.276815187087018,0.078,0.898,0,"achaete-scute family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:739]"
"35","TMEM106C",0,-0.277132661154778,0.156,0.964,0,"transmembrane protein 106C [Source:HGNC Symbol;Acc:HGNC:28775]"
"36","ICA1",0,-0.277448519537733,0.063,0.888,0,"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
"37","TDGF1",0,-0.277759610466766,0.019,0.713,0,"teratocarcinoma-derived growth factor 1 [Source:HGNC Symbol;Acc:HGNC:11701]"
"38","EPB41L4A-AS1",0,-0.280070422414093,0.041,0.821,0,"EPB41L4A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30749]"
"39","MGAT4B",0,-0.280684639216186,0.117,0.958,0,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]"
"40","ASPSCR1",0,-0.281800798437336,0.14,0.964,0,"ASPSCR1 tether for SLC2A4, UBX domain containing [Source:HGNC Symbol;Acc:HGNC:13825]"
"41","UBALD2",0,-0.286108809701895,0.071,0.87,0,"UBA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]"
"42","POP7",0,-0.286158111183537,0.146,0.976,0,"POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]"
"43","ETV4",0,-0.286774663089804,0.072,0.905,0,"ETS variant 4 [Source:HGNC Symbol;Acc:HGNC:3493]"
"44","CHCHD10",0,-0.288463137951349,0.093,0.918,0,"coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]"
"45","PRDX5",0,-0.290343117866151,0.18,0.977,0,"peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]"
"46","HIGD2A",0,-0.296169541289583,0.224,0.995,0,"HIG1 hypoxia inducible domain family member 2A [Source:HGNC Symbol;Acc:HGNC:28311]"
"47","INSIG1",0,-0.29643662718449,0.033,0.68,0,"insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]"
"48","TAF1D",0,-0.299350289225553,0.174,0.99,0,"TATA-box binding protein associated factor, RNA polymerase I subunit D [Source:HGNC Symbol;Acc:HGNC:28759]"
"49","RPS6KB2",0,-0.299444035190227,0.055,0.895,0,"ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]"
