"","genes","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","description"
"1","SPINK1",0,4.19007228843149,1,0.108,0,"NCC24","SPINK1","serine peptidase inhibitor, Kazal type 1 [Source:HGNC Symbol;Acc:HGNC:11244]"
"2","CST1",0,4.15745209581108,0.935,0.028,0,"NCC24","CST1","cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]"
"3","LCN2",0,4.0896655283249,1,0.069,0,"NCC24","LCN2","lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]"
"4","ODAM",0,4.05396167871946,0.997,0.09,0,"NCC24","ODAM","odontogenic, ameloblast associated [Source:HGNC Symbol;Acc:HGNC:26043]"
"5","REG1A",0,3.36000027501934,0.925,0.004,0,"NCC24","REG1A","regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]"
"6","PRSS2",0,3.13958192223367,0.92,0.079,0,"NCC24","PRSS2","serine protease 2 [Source:HGNC Symbol;Acc:HGNC:9483]"
"7","BPIFB1",0,3.08450955604046,0.922,0.003,0,"NCC24","BPIFB1","BPI fold containing family B member 1 [Source:HGNC Symbol;Acc:HGNC:16108]"
"8","TACC1",0,3.05828932260303,0.998,0.077,0,"NCC24","TACC1","transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]"
"9","NUPR1",0,2.90027712851558,0.997,0.067,0,"NCC24","NUPR1","nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]"
"10","PGC",0,2.87122854029697,0.908,0.003,0,"NCC24","PGC","progastricsin [Source:HGNC Symbol;Acc:HGNC:8890]"
"11","PLA2G2A",0,2.71175230941801,0.712,0.029,0,"NCC24","PLA2G2A","phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]"
"12","CYBA",0,2.63140207786675,0.984,0.061,0,"NCC24","CYBA","cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]"
"13","IFI27",0,2.5811931207202,0.996,0.14,0,"NCC24","IFI27","interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]"
"14","DMBT1",0,2.38910463062402,0.762,0,0,"NCC24","DMBT1","deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]"
"15","PRSS1",0,2.34965291779003,0.899,0.029,0,"NCC24","PRSS1","serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]"
"16","PARK7",0,2.27526512342658,0.994,0.007,0,"NCC24","PARK7","Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]"
"17","PAGE4",0,2.19962043771424,0.718,0.02,0,"NCC24","PAGE4","PAGE family member 4 [Source:HGNC Symbol;Acc:HGNC:4108]"
"18","ADAM9",0,2.12805528254216,1,0.648,0,"NCC24","ADAM9","ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]"
"19","LYZ",0,1.99696431515341,1,0.961,0,"NCC24","LYZ","lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]"
"20","RAMP1",0,1.99075431675981,0.968,0.002,0,"NCC24","RAMP1","receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]"
"21","HLA-B",0,1.98685168182079,0.999,0.69,0,"NCC24","HLA-B","major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]"
"22","VSIG2",0,1.97709431170228,0.971,0.016,0,"NCC24","VSIG2","V-set and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17149]"
"23","PHGDH",0,1.95008690718464,0.98,0.216,0,"NCC24","PHGDH","phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]"
"24","BEX3",0,1.90028892612508,0.96,0.004,0,"NCC24","BEX3","brain expressed X-linked 3 [Source:HGNC Symbol;Acc:HGNC:13388]"
"25","NME4",0,1.88338030961414,0.97,0.047,0,"NCC24","NME4","NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]"
"26","SLC39A4",0,1.87005266969445,1,0.858,0,"NCC24","SLC39A4","solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]"
"27","KAT6A",0,1.83095312743052,1,0.462,0,"NCC24","KAT6A","lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]"
"28","S100P",0,1.77087682870144,1,0.638,0,"NCC24","S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]"
"29","PSAT1",0,1.74816112259858,0.995,0.586,0,"NCC24","PSAT1","phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]"
"30","SLC40A1",0,1.64279756316756,0.983,0.589,0,"NCC24","SLC40A1","solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]"
"31","MTRNR2L1",0,1.62666108839474,0.977,0.196,0,"NCC24","MTRNR2L1","MT-RNR2 like 1 [Source:HGNC Symbol;Acc:HGNC:37155]"
"32","DMKN",0,1.62485915989639,1,0.602,0,"NCC24","DMKN","dermokine [Source:HGNC Symbol;Acc:HGNC:25063]"
"33","C15orf48",0,1.61990202340967,0.814,0.005,0,"NCC24","C15orf48","chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]"
"34","LMO4",0,1.59455499619008,0.998,0.739,0,"NCC24","LMO4","LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]"
"35","LINC01133",0,1.57969411899463,0.974,0.285,0,"NCC24","LINC01133","long intergenic non-protein coding RNA 1133 [Source:HGNC Symbol;Acc:HGNC:49447]"
"36","AZIN1",0,1.57861048114816,0.999,0.607,0,"NCC24","AZIN1","antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]"
"37","HTRA1",0,1.57022201014182,0.951,0.168,0,"NCC24","HTRA1","HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]"
"38","MUC1",0,1.55974941306539,0.878,0.052,0,"NCC24","MUC1","mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]"
"39","ASNS",0,1.54535523667256,0.901,0.066,0,"NCC24","ASNS","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"40","EPPK1",0,1.53117576260267,0.844,0.106,0,"NCC24","EPPK1","epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]"
"41","RPL36A",0,1.51925325692273,1,1,0,"NCC24","RPL36A","ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]"
"42","ZNF22",0,1.50213028393903,0.934,0.036,0,"NCC24","ZNF22","zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]"
"43","COLCA2",0,1.50186613216268,0.923,0.086,0,"NCC24","COLCA2","colorectal cancer associated 2 [Source:HGNC Symbol;Acc:HGNC:26978]"
"44","GPAA1",0,1.48776803634067,0.998,0.639,0,"NCC24","GPAA1","glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]"
"45","SLC38A1",0,1.4829764985249,0.991,0.639,0,"NCC24","SLC38A1","solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]"
"46","KCNE3",0,1.48129447319699,0.96,0.437,0,"NCC24","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]"
"47","ALDH1A1",0,1.46850748985162,0.971,0.354,0,"NCC24","ALDH1A1","aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]"
"48","LY6E",0,1.41809617704574,0.997,0.802,0,"NCC24","LY6E","lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]"
"49","PRKDC",0,1.39381631876524,0.993,0.741,0,"NCC24","PRKDC","protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]"
"50","LAPTM4B",0,1.39111245280058,0.911,0.045,0,"NCC24","LAPTM4B","lysosomal protein transmembrane 4 beta [Source:HGNC Symbol;Acc:HGNC:13646]"
"51","SNHG25",0,1.37672897462486,1,0.784,0,"NCC24","SNHG25","small nucleolar RNA host gene 25 [Source:HGNC Symbol;Acc:HGNC:51534]"
"52","FARP1",0,1.36978379593082,0.88,0.061,0,"NCC24","FARP1","FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]"
"53","CHCHD10",0,1.35695890042552,1,0.93,0,"NCC24","CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]"
"54","SORBS2",0,1.35385754892617,0.834,0.011,0,"NCC24","SORBS2","sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]"
"55","RAD23A",0,1.34739475029324,1,0.978,0,"NCC24","RAD23A","RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]"
"56","ELF3",0,1.34633771948265,1,0.803,0,"NCC24","ELF3","E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]"
"57","GCNT1",0,1.34173324272039,0.866,0.083,0,"NCC24","GCNT1","glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]"
