"","genes","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","description"
"1","CST1",0,4.18261521686284,0.933,0.042,0,"NCC24","CST1","cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]"
"2","SPINK1",0,4.15429467348826,1,0.166,0,"NCC24","SPINK1","serine peptidase inhibitor, Kazal type 1 [Source:HGNC Symbol;Acc:HGNC:11244]"
"3","LCN2",0,4.08978585270032,1,0.126,0,"NCC24","LCN2","lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]"
"4","ODAM",0,4.0221156204963,0.997,0.147,0,"NCC24","ODAM","odontogenic, ameloblast associated [Source:HGNC Symbol;Acc:HGNC:26043]"
"5","PRSS2",0,3.41038370800328,0.92,0.015,0,"NCC24","PRSS2","serine protease 2 [Source:HGNC Symbol;Acc:HGNC:9483]"
"6","REG1A",0,3.31654360666986,0.922,0.024,0,"NCC24","REG1A","regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]"
"7","S100P",0,3.12178438192557,1,0.166,0,"NCC24","S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]"
"8","TACC1",0,3.05770610214646,0.998,0.082,0,"NCC24","TACC1","transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]"
"9","BPIFB1",0,3.05517851490581,0.923,0.013,0,"NCC24","BPIFB1","BPI fold containing family B member 1 [Source:HGNC Symbol;Acc:HGNC:16108]"
"10","PLA2G2A",0,2.94779351393573,0.708,0.005,0,"NCC24","PLA2G2A","phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]"
"11","NUPR1",0,2.92297580103982,0.997,0.07,0,"NCC24","NUPR1","nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]"
"12","IFI27",0,2.8796235600753,0.996,0.054,0,"NCC24","IFI27","interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]"
"13","PGC",0,2.8526041761398,0.907,0.005,0,"NCC24","PGC","progastricsin [Source:HGNC Symbol;Acc:HGNC:8890]"
"14","CYBA",0,2.73756676527954,0.983,0.014,0,"NCC24","CYBA","cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]"
"15","PRSS1",0,2.38778497913621,0.899,0.003,0,"NCC24","PRSS1","serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]"
"16","DMBT1",0,2.37370131244604,0.759,0,0,"NCC24","DMBT1","deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]"
"17","PARK7",0,2.25515146212036,0.994,0.01,0,"NCC24","PARK7","Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]"
"18","SLC39A4",0,2.24756905021404,1,0.753,0,"NCC24","SLC39A4","solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]"
"19","ADAM9",0,2.24199805141504,1,0.588,0,"NCC24","ADAM9","ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]"
"20","PAGE4",0,2.2186865255189,0.716,0.002,0,"NCC24","PAGE4","PAGE family member 4 [Source:HGNC Symbol;Acc:HGNC:4108]"
"21","HLA-B",0,2.02175366782119,0.999,0.741,0,"NCC24","HLA-B","major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]"
"22","VSIG2",0,1.98027534284459,0.971,0.003,0,"NCC24","VSIG2","V-set and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17149]"
"23","RAMP1",0,1.97864272433993,0.967,0,0,"NCC24","RAMP1","receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]"
"24","BEX5",0,1.9678018658218,0.628,0.037,0,"NCC24","BEX5","brain expressed X-linked 5 [Source:HGNC Symbol;Acc:HGNC:27990]"
"25","NME4",0,1.91954545405335,0.97,0.011,0,"NCC24","NME4","NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]"
"26","BEX3",0,1.89213865453568,0.96,0,0,"NCC24","BEX3","brain expressed X-linked 3 [Source:HGNC Symbol;Acc:HGNC:13388]"
"27","LMO4",0,1.87600366327212,0.998,0.601,0,"NCC24","LMO4","LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]"
"28","KAT6A",0,1.82110047547871,1,0.483,0,"NCC24","KAT6A","lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]"
"29","DMKN",0,1.78422334137582,1,0.596,0,"NCC24","DMKN","dermokine [Source:HGNC Symbol;Acc:HGNC:25063]"
"30","MTRNR2L1",0,1.77400982041007,0.977,0.061,0,"NCC24","MTRNR2L1","MT-RNR2 like 1 [Source:HGNC Symbol;Acc:HGNC:37155]"
"31","KCNE3",0,1.70869696517303,0.957,0.259,0,"NCC24","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]"
"32","EPPK1",0,1.6370257047728,0.843,0.006,0,"NCC24","EPPK1","epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]"
"33","MBNL2",0,1.62611881345701,0.974,0.308,0,"NCC24","MBNL2","muscleblind like splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:16746]"
"34","ASNS",0,1.61549247002473,0.896,0.006,0,"NCC24","ASNS","asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]"
"35","C15orf48",0,1.6106070745568,0.81,0.005,0,"NCC24","C15orf48","chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]"
"36","PHGDH",0,1.59575591344388,0.987,0.468,0,"NCC24","PHGDH","phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]"
"37","LINC01133",0,1.57868140287241,0.974,0.386,0,"NCC24","LINC01133","long intergenic non-protein coding RNA 1133 [Source:HGNC Symbol;Acc:HGNC:49447]"
"38","CDKN2A",0,1.56541895662181,0.907,0,0,"NCC24","CDKN2A","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]"
"39","ZNF22",0,1.53265076922033,0.934,0,0,"NCC24","ZNF22","zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]"
"40","COLCA2",0,1.51184577191887,0.923,0.107,0,"NCC24","COLCA2","colorectal cancer associated 2 [Source:HGNC Symbol;Acc:HGNC:26978]"
"41","HTRA1",0,1.50522181281613,0.95,0.21,0,"NCC24","HTRA1","HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]"
"42","MUC1",0,1.49625659282405,0.875,0.093,0,"NCC24","MUC1","mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]"
"43","AZIN1",0,1.4806949896995,0.999,0.684,0,"NCC24","AZIN1","antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]"
"44","PSAT1",0,1.47459622441013,0.995,0.753,0,"NCC24","PSAT1","phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]"
"45","TM2D2",0,1.47233016269206,0.961,0.403,0,"NCC24","TM2D2","TM2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24127]"
"46","SLC38A1",0,1.43426566827944,0.991,0.703,0,"NCC24","SLC38A1","solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]"
"47","LAPTM4B",0,1.43303578236621,0.911,0.001,0,"NCC24","LAPTM4B","lysosomal protein transmembrane 4 beta [Source:HGNC Symbol;Acc:HGNC:13646]"
"48","CTSE",0,1.41879125586094,0.742,0.025,0,"NCC24","CTSE","cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]"
"49","GPAA1",0,1.3824726004016,0.998,0.749,0,"NCC24","GPAA1","glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]"
"50","FARP1",0,1.36980586000755,0.879,0.046,0,"NCC24","FARP1","FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]"
"51","SORBS2",0,1.35295408666247,0.83,0.004,0,"NCC24","SORBS2","sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]"
"52","CHCHD10",0,1.33369342296435,1,0.959,0,"NCC24","CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]"
"53","CYHR1",0,1.31820687674775,0.995,0.57,0,"NCC24","CYHR1","cysteine and histidine rich 1 [Source:HGNC Symbol;Acc:HGNC:17806]"
"54","RAD23A",0,1.30839801913394,1,0.986,0,"NCC24","RAD23A","RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]"
"55","C8orf82",0,1.29334934431374,0.974,0.425,0,"NCC24","C8orf82","chromosome 8 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:33826]"
"56","SMPX",0,1.28762648509363,0.701,0.034,0,"NCC24","SMPX","small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122]"
"57","EEF1D",0,1.28248782042205,1,1,0,"NCC24","EEF1D","eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]"
"58","MT1E",0,1.27816950368791,0.716,0,0,"NCC24","MT1E","metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]"
"59","MAL2",0,1.26310218214319,1,0.989,0,"NCC24","MAL2","mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]"
"60","ILF3-DT",0,1.23625170067225,0.979,0.582,0,"NCC24","ILF3-DT","ILF3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:27115]"
"61","RPL8",0,1.22400209483294,1,1,0,"NCC24","RPL8","ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]"
"62","MYADM",0,1.22027351628538,0.789,0.15,0,"NCC24","MYADM","myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]"
"63","COMTD1",0,1.21162791978632,0.979,0.654,0,"NCC24","COMTD1","catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26309]"
"64","MTMR9",0,1.20428758649927,0.902,0.139,0,"NCC24","MTMR9","myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]"
"65","SHARPIN",0,1.19972242493518,0.992,0.649,0,"NCC24","SHARPIN","SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321]"
"66","TCEAL9",0,1.19705471297678,0.899,0.234,0,"NCC24","TCEAL9","transcription elongation factor A like 9 [Source:HGNC Symbol;Acc:HGNC:30084]"
"67","IRX2",0,1.1854798780031,0.825,0,0,"NCC24","IRX2","iroquois homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14359]"
"68","PRKDC",0,1.1751481044601,0.994,0.839,0,"NCC24","PRKDC","protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]"
"69","TSTA3",0,1.1684868471922,1,0.877,0,"NCC24","TSTA3","tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]"
"70","C8orf33",0,1.16451855340557,0.992,0.759,0,"NCC24","C8orf33","chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]"
"71","GCNT1",0,1.16420711374046,0.861,0.218,0,"NCC24","GCNT1","glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]"
"72","ELFN1-AS1",0,1.1630861079196,0.748,0,0,"NCC24","ELFN1-AS1","ELFN1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39071]"
"73","RGS5",0,1.16217358815438,0.597,0.013,0,"NCC24","RGS5","regulator of G protein signaling 5 [Source:HGNC Symbol;Acc:HGNC:10001]"
"74","NT5C3B",0,1.15724572791797,0.843,0,0,"NCC24","NT5C3B","5'-nucleotidase, cytosolic IIIB [Source:HGNC Symbol;Acc:HGNC:28300]"
"75","RPS28",0,1.13447844633084,1,1,0,"NCC24","RPS28","ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]"
"76","AARS",0,1.13130419200429,0.952,0.453,0,"NCC24","AARS","alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]"
"77","CEBPD",0,1.12816327385989,0.934,0.413,0,"NCC24","CEBPD","CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]"
"78","RIOK3",0,1.12272376293621,0.944,0.447,0,"NCC24","RIOK3","RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]"
"79","SP5",0,1.11729075386653,0.765,0.024,0,"NCC24","SP5","Sp5 transcription factor [Source:HGNC Symbol;Acc:HGNC:14529]"
"80","ANXA10",0,1.11608840121846,0.672,0.054,0,"NCC24","ANXA10","annexin A10 [Source:HGNC Symbol;Acc:HGNC:534]"
"81","RPL36A",0,1.11424365731272,1,1,0,"NCC24","RPL36A","ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]"
"82","S100A13",0,1.10420666453925,0.89,0.339,0,"NCC24","S100A13","S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]"
"83","TNNC1",0,1.10331525320245,0.644,0.037,0,"NCC24","TNNC1","troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]"
"84","AL355338.1",0,1.10264824019842,0.931,0.409,0,"NCC24","AL355338.1","novel transcript"
"85","ADH1C",0,1.09480934545042,0.593,0,0,"NCC24","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]"
"86","TARS",0,1.09153905782238,0.993,0.818,0,"NCC24","TARS","threonyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:11572]"
"87","DTD1",0,1.08940111077934,0.818,0.047,0,"NCC24","DTD1","D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]"
"88","TSPAN32",0,1.08436356801826,0.704,0,0,"NCC24","TSPAN32","tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]"
"89","APOC1",0,1.08155950028539,0.768,0,0,"NCC24","APOC1","apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]"
"90","COA4",0,1.07884098834447,1,0.934,0,"NCC24","COA4","cytochrome c oxidase assembly factor 4 homolog [Source:HGNC Symbol;Acc:HGNC:24604]"
"91","RPS4Y1",0,1.07685371906601,0.998,0.973,0,"NCC24","RPS4Y1","ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]"
"92","CLDN18",0,1.06670774214936,0.527,0,0,"NCC24","CLDN18","claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]"
"93","PPP1R1B",0,1.06164605891301,0.774,0.03,0,"NCC24","PPP1R1B","protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]"
"94","CASC8",0,1.05348662785476,0.698,0.04,0,"NCC24","CASC8","cancer susceptibility 8 [Source:HGNC Symbol;Acc:HGNC:45129]"
"95","COLCA1",0,1.04980605701525,0.785,0.109,0,"NCC24","COLCA1","colorectal cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:33789]"
"96","EBAG9",0,1.04459112146369,0.996,0.785,0,"NCC24","EBAG9","estrogen receptor binding site associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:3123]"
"97","TCEAL8",0,1.02932360295034,0.778,0,0,"NCC24","TCEAL8","transcription elongation factor A like 8 [Source:HGNC Symbol;Acc:HGNC:28683]"
