"","x"
"1","SNU719"
"2","NCC24"
"3","SNU719"
"4","SNU719"
"5","SNU719"
"6","NCC24"
"7","NCC24"
"8","NCC24"
"9","SNU719"
"10","NCC24"
"11","SNU719"
"12","NCC24"
"13","NCC24"
"14","SNU719"
"15","SNU719"
"16","SNU719"
"17","SNU719"
"18","NCC24"
"19","NCC24"
"20","SNU719"
"21","SNU719"
"22","SNU719"
"23","SNU719"
"24","SNU719"
"25","SNU719"
"26","SNU719"
"27","SNU719"
"28","SNU719"
"29","NCC24"
"30","NCC24"
"31","SNU719"
"32","NCC24"
"33","SNU719"
"34","SNU719"
"35","NCC24"
"36","NCC24"
"37","SNU719"
"38","SNU719"
"39","SNU719"
"40","SNU719"
"41","SNU719"
"42","SNU719"
"43","SNU719"
"44","SNU719"
"45","SNU719"
"46","SNU719"
"47","SNU719"
"48","NCC24"
"49","SNU719"
"50","SNU719"
"51","NCC24"
"52","SNU719"
"53","SNU719"
"54","NCC24"
"55","SNU719"
"56","NCC24"
"57","SNU719"
"58","SNU719"
"59","SNU719"
"60","SNU719"
"61","NCC24"
"62","SNU719"
"63","SNU719"
"64","SNU719"
"65","SNU719"
"66","NCC24"
"67","NCC24"
"68","NCC24"
"69","SNU719"
"70","SNU719"
"71","NCC24"
"72","SNU719"
"73","NCC24"
"74","NCC24"
"75","SNU719"
"76","NCC24"
"77","NCC24"
"78","NCC24"
"79","NCC24"
"80","SNU719"
"81","SNU719"
"82","SNU719"
"83","NCC24"
"84","NCC24"
"85","SNU719"
"86","NCC24"
"87","NCC24"
"88","SNU719"
"89","SNU719"
"90","SNU719"
"91","SNU719"
"92","NCC24"
"93","NCC24"
"94","SNU719"
"95","SNU719"
"96","NCC24"
"97","SNU719"
"98","SNU719"
"99","SNU719"
"100","SNU719"
"101","NCC24"
"102","NCC24"
"103","SNU719"
"104","SNU719"
"105","NCC24"
"106","SNU719"
"107","SNU719"
"108","NCC24"
"109","SNU719"
"110","SNU719"
"111","NCC24"
"112","SNU719"
"113","SNU719"
"114","SNU719"
"115","SNU719"
"116","SNU719"
"117","SNU719"
"118","SNU719"
"119","SNU719"
"120","SNU719"
"121","NCC24"
"122","NCC24"
"123","SNU719"
"124","SNU719"
"125","NCC24"
"126","SNU719"
"127","SNU719"
"128","SNU719"
"129","SNU719"
"130","SNU719"
"131","SNU719"
"132","SNU719"
"133","NCC24"
"134","NCC24"
"135","SNU719"
"136","SNU719"
"137","SNU719"
"138","SNU719"
"139","SNU719"
"140","SNU719"
"141","SNU719"
"142","SNU719"
"143","NCC24"
"144","SNU719"
"145","SNU719"
"146","SNU719"
"147","SNU719"
"148","SNU719"
"149","SNU719"
"150","NCC24"
"151","SNU719"
"152","SNU719"
"153","SNU719"
"154","SNU719"
"155","NCC24"
"156","SNU719"
"157","NCC24"
"158","SNU719"
"159","NCC24"
"160","SNU719"
"161","NCC24"
"162","SNU719"
"163","SNU719"
"164","SNU719"
"165","SNU719"
"166","NCC24"
"167","NCC24"
"168","SNU719"
"169","SNU719"
"170","NCC24"
"171","SNU719"
"172","SNU719"
"173","SNU719"
"174","SNU719"
"175","SNU719"
"176","SNU719"
"177","SNU719"
"178","NCC24"
"179","SNU719"
"180","NCC24"
"181","NCC24"
"182","SNU719"
"183","SNU719"
"184","SNU719"
"185","NCC24"
"186","SNU719"
"187","SNU719"
"188","SNU719"
"189","NCC24"
"190","SNU719"
"191","NCC24"
"192","NCC24"
"193","NCC24"
"194","SNU719"
"195","SNU719"
"196","NCC24"
"197","SNU719"
"198","SNU719"
"199","SNU719"
"200","SNU719"
"201","SNU719"
"202","SNU719"
"203","SNU719"
"204","SNU719"
"205","NCC24"
"206","SNU719"
"207","SNU719"
"208","SNU719"
"209","SNU719"
"210","SNU719"
"211","NCC24"
"212","NCC24"
"213","NCC24"
"214","SNU719"
"215","SNU719"
"216","SNU719"
"217","SNU719"
"218","SNU719"
"219","SNU719"
"220","NCC24"
"221","SNU719"
"222","SNU719"
"223","NCC24"
"224","SNU719"
"225","NCC24"
"226","SNU719"
"227","SNU719"
"228","NCC24"
"229","SNU719"
"230","SNU719"
"231","SNU719"
"232","SNU719"
"233","NCC24"
"234","NCC24"
"235","SNU719"
"236","NCC24"
"237","NCC24"
"238","SNU719"
