"","x"
"1","SNU719"
"2","SNU719"
"3","NCC24"
"4","SNU719"
"5","NCC24"
"6","NCC24"
"7","SNU719"
"8","NCC24"
"9","SNU719"
"10","SNU719"
"11","NCC24"
"12","NCC24"
"13","SNU719"
"14","NCC24"
"15","NCC24"
"16","SNU719"
"17","SNU719"
"18","NCC24"
"19","NCC24"
"20","NCC24"
"21","SNU719"
"22","NCC24"
"23","SNU719"
"24","SNU719"
"25","SNU719"
"26","SNU719"
"27","SNU719"
"28","SNU719"
"29","SNU719"
"30","NCC24"
"31","SNU719"
"32","NCC24"
"33","SNU719"
"34","NCC24"
"35","NCC24"
"36","SNU719"
"37","SNU719"
"38","SNU719"
"39","NCC24"
"40","SNU719"
"41","SNU719"
"42","SNU719"
"43","SNU719"
"44","NCC24"
"45","SNU719"
"46","SNU719"
"47","SNU719"
"48","SNU719"
"49","SNU719"
"50","NCC24"
"51","NCC24"
"52","SNU719"
"53","SNU719"
"54","SNU719"
"55","NCC24"
"56","NCC24"
"57","NCC24"
"58","NCC24"
"59","SNU719"
"60","SNU719"
"61","SNU719"
"62","SNU719"
"63","SNU719"
"64","SNU719"
"65","NCC24"
"66","NCC24"
"67","SNU719"
"68","SNU719"
"69","SNU719"
"70","SNU719"
"71","SNU719"
"72","SNU719"
"73","NCC24"
"74","NCC24"
"75","SNU719"
"76","SNU719"
"77","NCC24"
"78","NCC24"
"79","NCC24"
"80","SNU719"
"81","NCC24"
"82","SNU719"
"83","NCC24"
"84","SNU719"
"85","SNU719"
"86","SNU719"
"87","SNU719"
"88","SNU719"
"89","NCC24"
"90","SNU719"
"91","SNU719"
"92","SNU719"
"93","SNU719"
"94","SNU719"
"95","SNU719"
"96","SNU719"
"97","NCC24"
"98","NCC24"
"99","SNU719"
"100","NCC24"
"101","NCC24"
"102","NCC24"
"103","SNU719"
"104","NCC24"
"105","NCC24"
"106","SNU719"
"107","SNU719"
"108","NCC24"
"109","SNU719"
"110","NCC24"
"111","SNU719"
"112","NCC24"
"113","SNU719"
"114","SNU719"
"115","NCC24"
"116","SNU719"
"117","SNU719"
"118","SNU719"
"119","NCC24"
"120","NCC24"
"121","SNU719"
"122","SNU719"
"123","SNU719"
"124","NCC24"
"125","SNU719"
"126","SNU719"
"127","NCC24"
"128","SNU719"
"129","SNU719"
"130","SNU719"
"131","SNU719"
"132","SNU719"
"133","NCC24"
"134","SNU719"
"135","NCC24"
"136","NCC24"
"137","SNU719"
"138","SNU719"
"139","SNU719"
"140","NCC24"
"141","NCC24"
"142","SNU719"
"143","SNU719"
"144","SNU719"
"145","SNU719"
"146","SNU719"
"147","SNU719"
"148","NCC24"
"149","SNU719"
"150","NCC24"
"151","SNU719"
"152","SNU719"
"153","SNU719"
"154","NCC24"
"155","SNU719"
"156","SNU719"
"157","NCC24"
"158","SNU719"
"159","SNU719"
"160","SNU719"
"161","SNU719"
"162","SNU719"
"163","SNU719"
"164","NCC24"
"165","NCC24"
"166","SNU719"
"167","NCC24"
"168","SNU719"
"169","SNU719"
"170","SNU719"
"171","SNU719"
"172","NCC24"
"173","SNU719"
"174","NCC24"
"175","SNU719"
"176","NCC24"
"177","NCC24"
"178","SNU719"
"179","SNU719"
"180","SNU719"
"181","SNU719"
"182","SNU719"
"183","SNU719"
"184","SNU719"
"185","NCC24"
"186","NCC24"
"187","SNU719"
"188","SNU719"
"189","SNU719"
"190","NCC24"
"191","NCC24"
"192","NCC24"
"193","SNU719"
"194","NCC24"
"195","NCC24"
"196","SNU719"
"197","SNU719"
"198","NCC24"
"199","NCC24"
"200","SNU719"
"201","SNU719"
"202","SNU719"
"203","NCC24"
"204","NCC24"
"205","SNU719"
"206","SNU719"
"207","SNU719"
"208","SNU719"
"209","NCC24"
"210","SNU719"
"211","SNU719"
"212","SNU719"
"213","SNU719"
"214","NCC24"
"215","SNU719"
"216","SNU719"
"217","NCC24"
"218","SNU719"
"219","SNU719"
"220","SNU719"
"221","SNU719"
"222","SNU719"
"223","SNU719"
"224","SNU719"
"225","SNU719"
"226","SNU719"
"227","SNU719"
"228","SNU719"
"229","NCC24"
"230","SNU719"
"231","SNU719"
"232","SNU719"
"233","SNU719"
"234","SNU719"
"235","SNU719"
"236","SNU719"
"237","SNU719"
"238","SNU719"
"239","SNU719"
"240","SNU719"
"241","NCC24"
"242","NCC24"
"243","NCC24"
"244","SNU719"
"245","SNU719"
"246","SNU719"
"247","SNU719"
"248","SNU719"
"249","SNU719"
"250","SNU719"
"251","NCC24"
"252","SNU719"
"253","SNU719"
"254","NCC24"
"255","SNU719"
"256","SNU719"
"257","SNU719"
"258","SNU719"
"259","SNU719"
"260","SNU719"
"261","SNU719"
"262","SNU719"
"263","SNU719"
"264","SNU719"
"265","NCC24"
"266","SNU719"
"267","SNU719"
"268","NCC24"
"269","SNU719"
"270","SNU719"
"271","SNU719"
"272","SNU719"
"273","SNU719"
"274","NCC24"
"275","NCC24"
"276","SNU719"
"277","SNU719"
"278","NCC24"
"279","SNU719"
"280","SNU719"
"281","SNU719"
"282","SNU719"
"283","SNU719"
"284","SNU719"
"285","SNU719"
"286","SNU719"
"287","SNU719"
"288","SNU719"
"289","NCC24"
"290","SNU719"
"291","SNU719"
"292","SNU719"
"293","SNU719"
"294","NCC24"
"295","SNU719"
"296","NCC24"
"297","SNU719"
"298","SNU719"
"299","SNU719"
"300","SNU719"
"301","SNU719"
"302","NCC24"
"303","SNU719"
"304","SNU719"
"305","SNU719"
"306","SNU719"
"307","SNU719"
"308","NCC24"
"309","SNU719"
"310","SNU719"
"311","SNU719"
"312","SNU719"
"313","SNU719"
"314","SNU719"
"315","NCC24"
"316","NCC24"
"317","SNU719"
"318","SNU719"
"319","SNU719"
"320","NCC24"
"321","NCC24"
"322","SNU719"
"323","SNU719"
"324","SNU719"
"325","SNU719"
"326","SNU719"
"327","SNU719"
"328","SNU719"
"329","SNU719"
"330","NCC24"
"331","SNU719"
"332","SNU719"
"333","NCC24"
"334","NCC24"
"335","SNU719"
"336","SNU719"
"337","SNU719"
"338","SNU719"
"339","SNU719"
"340","NCC24"
"341","SNU719"
"342","NCC24"
"343","SNU719"
"344","NCC24"
"345","SNU719"
"346","NCC24"
"347","NCC24"
"348","SNU719"
"349","SNU719"
"350","NCC24"
"351","SNU719"
"352","NCC24"
"353","SNU719"
"354","NCC24"
"355","SNU719"
"356","NCC24"
"357","SNU719"
"358","SNU719"
"359","SNU719"
"360","NCC24"
"361","SNU719"
"362","SNU719"
"363","SNU719"
"364","NCC24"
"365","SNU719"
"366","SNU719"
"367","SNU719"
"368","SNU719"
"369","NCC24"
"370","NCC24"
"371","SNU719"
"372","SNU719"
"373","SNU719"
"374","SNU719"
"375","SNU719"
"376","SNU719"
"377","SNU719"
"378","SNU719"
"379","NCC24"
"380","NCC24"
"381","SNU719"
"382","NCC24"
"383","NCC24"
"384","SNU719"
"385","SNU719"
"386","SNU719"
"387","NCC24"
"388","NCC24"
"389","NCC24"
"390","SNU719"
"391","SNU719"
"392","NCC24"
"393","NCC24"
"394","NCC24"
"395","SNU719"
"396","SNU719"
"397","SNU719"
"398","NCC24"
"399","SNU719"
"400","SNU719"
"401","SNU719"
"402","SNU719"
"403","SNU719"
"404","SNU719"
"405","NCC24"
"406","SNU719"
"407","SNU719"
"408","SNU719"
"409","SNU719"
"410","SNU719"
"411","SNU719"
"412","SNU719"
"413","SNU719"
"414","NCC24"
"415","NCC24"
"416","SNU719"
"417","NCC24"
"418","SNU719"
"419","SNU719"
"420","NCC24"
"421","SNU719"
"422","SNU719"
"423","SNU719"
"424","SNU719"
"425","NCC24"
"426","SNU719"
"427","SNU719"
"428","NCC24"
"429","SNU719"
"430","SNU719"
"431","SNU719"
"432","SNU719"
"433","SNU719"
"434","SNU719"
"435","SNU719"
"436","NCC24"
"437","SNU719"
"438","NCC24"
"439","SNU719"
"440","SNU719"
"441","SNU719"
"442","SNU719"
"443","NCC24"
"444","NCC24"
"445","NCC24"
"446","NCC24"
"447","SNU719"
"448","NCC24"
"449","SNU719"
"450","NCC24"
"451","SNU719"
"452","SNU719"
"453","SNU719"
"454","NCC24"
"455","SNU719"
"456","SNU719"
"457","NCC24"
"458","SNU719"
"459","NCC24"
"460","SNU719"
"461","NCC24"
"462","SNU719"
"463","NCC24"
"464","SNU719"
"465","SNU719"
"466","SNU719"
"467","SNU719"
"468","NCC24"
"469","SNU719"
"470","SNU719"
"471","SNU719"
"472","SNU719"
"473","SNU719"
"474","SNU719"
"475","SNU719"
"476","SNU719"
"477","SNU719"
"478","SNU719"
"479","SNU719"
"480","SNU719"
"481","SNU719"
"482","SNU719"
"483","SNU719"
"484","SNU719"
"485","SNU719"
"486","SNU719"
"487","SNU719"
"488","NCC24"
"489","NCC24"
"490","SNU719"
"491","SNU719"
"492","NCC24"
"493","SNU719"
"494","SNU719"
"495","SNU719"
"496","SNU719"
"497","SNU719"
"498","SNU719"
"499","SNU719"
"500","NCC24"
"501","SNU719"
"502","SNU719"
"503","SNU719"
"504","SNU719"
"505","SNU719"
"506","NCC24"
"507","SNU719"
"508","SNU719"
"509","NCC24"
"510","SNU719"
"511","SNU719"
"512","NCC24"
"513","SNU719"
"514","SNU719"
"515","SNU719"
"516","NCC24"
"517","SNU719"
"518","NCC24"
"519","SNU719"
"520","SNU719"
"521","SNU719"
"522","SNU719"
"523","SNU719"
"524","SNU719"
"525","NCC24"
"526","SNU719"
"527","NCC24"
"528","SNU719"
"529","SNU719"
"530","NCC24"
"531","SNU719"
"532","NCC24"
"533","SNU719"
"534","SNU719"
"535","SNU719"
"536","SNU719"
"537","SNU719"
"538","SNU719"
"539","SNU719"
"540","SNU719"
"541","SNU719"
"542","SNU719"
"543","NCC24"
"544","SNU719"
"545","NCC24"
"546","NCC24"
"547","NCC24"
"548","SNU719"
"549","SNU719"
"550","SNU719"
"551","SNU719"
"552","SNU719"
"553","SNU719"
"554","SNU719"
"555","NCC24"
"556","SNU719"
"557","SNU719"
"558","SNU719"
"559","SNU719"
"560","SNU719"
"561","SNU719"
"562","SNU719"
"563","SNU719"
"564","SNU719"
"565","SNU719"
"566","SNU719"
"567","SNU719"
"568","NCC24"
"569","SNU719"
"570","SNU719"
"571","NCC24"
"572","SNU719"
"573","SNU719"
"574","SNU719"
"575","SNU719"
"576","SNU719"
"577","NCC24"
"578","SNU719"
"579","SNU719"
"580","NCC24"
"581","SNU719"
"582","NCC24"
"583","SNU719"
"584","NCC24"
"585","SNU719"
"586","SNU719"
"587","NCC24"
"588","NCC24"
"589","SNU719"
"590","NCC24"
"591","SNU719"
"592","NCC24"
"593","SNU719"
"594","NCC24"
"595","NCC24"
"596","SNU719"
"597","NCC24"
"598","SNU719"
"599","SNU719"
"600","SNU719"
"601","NCC24"
"602","SNU719"
"603","SNU719"
"604","NCC24"
"605","SNU719"
"606","NCC24"
"607","SNU719"
"608","SNU719"
"609","SNU719"
"610","SNU719"
"611","SNU719"
"612","SNU719"
"613","SNU719"
"614","SNU719"
"615","NCC24"
"616","SNU719"
"617","NCC24"
"618","SNU719"
"619","SNU719"
"620","NCC24"
"621","NCC24"
"622","NCC24"
"623","SNU719"
"624","SNU719"
"625","SNU719"
"626","SNU719"
"627","SNU719"
"628","SNU719"
"629","SNU719"
"630","SNU719"
"631","SNU719"
"632","SNU719"
"633","SNU719"
"634","SNU719"
"635","SNU719"
"636","NCC24"
"637","SNU719"
"638","NCC24"
"639","SNU719"
"640","SNU719"
"641","SNU719"
"642","SNU719"
"643","SNU719"
"644","SNU719"
"645","NCC24"
"646","SNU719"
"647","SNU719"
"648","SNU719"
"649","SNU719"
"650","SNU719"
"651","NCC24"
"652","SNU719"
"653","SNU719"
"654","SNU719"
"655","NCC24"
"656","SNU719"
"657","NCC24"
"658","SNU719"
"659","SNU719"
"660","SNU719"
"661","SNU719"
"662","SNU719"
"663","SNU719"
"664","NCC24"
"665","SNU719"
"666","SNU719"
"667","SNU719"
"668","NCC24"
"669","SNU719"
"670","SNU719"
"671","SNU719"
"672","SNU719"
"673","SNU719"
"674","NCC24"
"675","SNU719"
"676","NCC24"
"677","SNU719"
"678","SNU719"
"679","SNU719"
